batsman,total_runs,out,numberofballs,average,strikerate
V Kohli,5426,152,4111,35.69736842105263,131.98735100948676
SK Raina,5386,160,3916,33.6625,137.53830439223697
RG Sharma,4902,161,3742,30.4472049689441,130.99946552645645
DA Warner,4717,114,3292,41.37719298245614,143.28675577156744
S Dhawan,4601,137,3665,33.583941605839414,125.53888130968622
CH Gayle,4525,110,2972,41.13636363636363,152.2543741588156
MS Dhoni,4450,118,3206,37.71186440677966,138.80224578914536
RV Uthappa,4420,156,3381,28.333333333333332,130.73055309080155
AB de Villiers,4414,104,2902,42.44230769230769,152.10199862164023
G Gambhir,4219,134,3400,31.48507462686567,124.08823529411765
AM Rahane,3834,117,3133,32.76923076923077,122.37472071496968
KD Karthik,3669,138,2813,26.58695652173913,130.43014575186632
SR Watson,3590,115,2566,31.217391304347824,139.90646921278253
AT Rayudu,3313,114,2616,29.06140350877193,126.64373088685015
YK Pathan,3222,110,2240,29.29090909090909,143.83928571428572
BB McCullum,2886,106,2185,27.22641509433962,132.08237986270024
PA Patel,2864,127,2352,22.551181102362204,121.7687074829932
MK Pandey,2855,95,2352,30.05263157894737,121.3860544217687
KA Pollard,2772,102,1879,27.176470588235293,147.52527940393827
Yuvraj Singh,2755,109,2121,25.275229357798164,129.8915605846299
V Sehwag,2728,98,1746,27.836734693877553,156.24284077892327
M Vijay,2589,93,2104,27.838709677419356,123.0513307984791
SE Marsh,2489,65,1866,38.292307692307695,133.38692390139335
JH Kallis,2427,89,2219,27.269662921348313,109.37359170797656
DR Smith,2385,81,1758,29.444444444444443,135.6655290102389
SR Tendulkar,2334,71,1943,32.87323943661972,120.12352032938753
SV Samson,2215,79,1693,28.037974683544302,130.8328411104548
R Dravid,2174,77,1877,28.233766233766232,115.8231220031966
AC Gilchrist,2069,76,1492,27.223684210526315,138.67292225201072
SPD Smith,2038,59,1570,34.54237288135593,129.80891719745222
JP Duminy,2031,49,1633,41.44897959183673,124.37232088181263
KL Rahul,1988,49,1428,40.57142857142857,139.2156862745098
MEK Hussey,1977,52,1608,38.01923076923077,122.94776119402985
RA Jadeja,1931,83,1567,23.265060240963855,123.22910019144864
F du Plessis,1861,56,1459,33.232142857142854,127.553118574366
DA Miller,1858,54,1327,34.407407407407405,140.01507159005274
DPMD Jayawardene,1808,64,1460,28.25,123.83561643835617
WP Saha,1767,74,1340,23.87837837837838,131.86567164179104
RR Pant,1767,49,1071,36.06122448979592,164.9859943977591
AJ Finch,1741,66,1332,26.37878787878788,130.7057057057057
MK Tiwary,1696,60,1446,28.266666666666666,117.28907330567083
SS Iyer,1695,57,1321,29.736842105263158,128.3118849356548
KC Sangakkara,1687,69,1387,24.44927536231884,121.62941600576784
NV Ojha,1555,74,1308,21.013513513513512,118.88379204892968
Mandeep Singh,1535,71,1227,21.619718309859156,125.10187449062755
DJ Bravo,1494,63,1155,23.714285714285715,129.35064935064935
Q de Kock,1478,46,1109,32.130434782608695,133.27321911632103
KK Nair,1465,61,1137,24.016393442622952,128.84784520668427
S Badrinath,1441,48,1210,30.020833333333332,119.0909090909091
AD Russell,1415,41,752,34.51219512195122,188.16489361702128
GJ Maxwell,1401,62,864,22.596774193548388,162.15277777777777
BJ Hodge,1400,46,1117,30.434782608695652,125.33572068039392
JC Buttler,1396,37,919,37.729729729729726,151.90424374319912
SC Ganguly,1349,54,1261,24.98148148148148,106.9785884218874
DJ Hussey,1322,48,1069,27.541666666666668,123.666978484565
KS Williamson,1309,34,964,38.5,135.7883817427386
CA Lynn,1288,37,909,34.810810810810814,141.6941694169417
SS Tiwary,1276,42,1064,30.38095238095238,119.92481203007519
MA Agarwal,1269,67,988,18.940298507462686,128.4412955465587
TM Dilshan,1153,41,1006,28.121951219512194,114.61232604373757
IK Pathan,1150,52,948,22.115384615384617,121.30801687763713
ML Hayden,1107,27,802,41.0,138.0299251870324
N Rana,1093,40,808,27.325,135.27227722772278
KM Jadhav,1087,46,851,23.630434782608695,127.73207990599296
HH Pandya,1082,38,689,28.473684210526315,157.03918722786648
LMP Simmons,1079,27,851,39.96296296296296,126.79200940070506
LRPL Taylor,1017,41,818,24.804878048780488,124.3276283618582
M Vohra,1013,42,767,24.11904761904762,132.07301173402868
KP Pietersen,1001,28,740,35.75,135.2702702702703
AS Yadav,995,35,746,28.428571428571427,133.37801608579088
Y Venugopal Rao,985,42,834,23.452380952380953,118.10551558752998
JA Morkel,975,40,682,24.375,142.96187683284458
A Symonds,974,26,748,37.46153846153846,130.2139037433155
CL White,971,35,760,27.742857142857144,127.76315789473685
MC Henriques,969,35,756,27.685714285714287,128.1746031746032
KH Pandya,897,32,609,28.03125,147.29064039408868
HH Gibbs,886,32,802,27.6875,110.47381546134662
STR Binny,880,44,683,20.0,128.84333821376282
EJG Morgan,854,38,702,22.473684210526315,121.65242165242165
Harbhajan Singh,831,56,597,14.839285714285714,139.19597989949747
AR Patel,800,43,628,18.6046511627907,127.38853503184713
MS Bisla,798,37,697,21.56756756756757,114.4906743185079
SP Narine,785,40,458,19.625,171.39737991266375
ST Jayasuriya,768,29,531,26.482758620689655,144.63276836158192
RA Tripathi,761,27,553,28.185185185185187,137.6130198915009
Shakib Al Hasan,750,34,588,22.058823529411764,127.55102040816327
GC Smith,739,30,666,24.633333333333333,110.96096096096095
AD Mathews,724,31,573,23.35483870967742,126.35253054101221
Ishan Kishan,701,31,531,22.612903225806452,132.015065913371
TL Suman,676,30,573,22.533333333333335,117.97556719022688
AM Nayar,672,39,574,17.23076923076923,117.07317073170731
GJ Bailey,663,29,543,22.862068965517242,122.09944751381217
BA Stokes,641,30,481,21.366666666666667,133.26403326403326
SA Yadav,608,29,465,20.96551724137931,130.752688172043
JD Ryder,604,29,456,20.82758620689655,132.45614035087718
P Shaw,604,24,423,25.166666666666668,142.78959810874704
PP Chawla,584,50,519,11.68,112.52408477842005
HM Amla,577,13,407,44.38461538461539,141.76904176904176
V Shankar,563,17,416,33.11764705882353,135.33653846153845
CJ Anderson,538,22,423,24.454545454545453,127.18676122931443
RS Bopara,531,19,452,27.94736842105263,117.47787610619469
JP Faulkner,527,28,387,18.821428571428573,136.17571059431523
DJ Hooda,526,33,413,15.93939393939394,127.36077481840194
CH Morris,519,20,327,25.95,158.71559633027522
M Manhas,514,24,469,21.416666666666668,109.5948827292111
S Gill,510,14,377,36.42857142857143,135.27851458885942
OA Shah,506,13,386,38.92307692307692,131.0880829015544
PC Valthaty,505,22,415,22.954545454545453,121.6867469879518
MP Stoinis,476,15,362,31.733333333333334,131.49171270718233
J Bairstow,459,8,284,57.375,161.61971830985914
DT Christian,448,24,373,18.666666666666668,120.10723860589812
Gurkeerat Singh,443,26,342,17.03846153846154,129.53216374269005
E Lewis,437,16,327,27.3125,133.63914373088684
NLTC Perera,424,24,305,17.666666666666668,139.01639344262296
SA Asnodkar,423,19,339,22.263157894736842,124.7787610619469
JR Hopes,417,17,305,24.529411764705884,136.72131147540983
SN Khan,412,18,285,22.88888888888889,144.56140350877195
J Botha,409,22,358,18.59090909090909,114.24581005586592
LR Shukla,405,29,346,13.96551724137931,117.0520231213873
AL Menaria,401,22,356,18.227272727272727,112.64044943820224
MV Boucher,394,15,308,26.266666666666666,127.92207792207793
CA Pujara,390,18,391,21.666666666666668,99.74424552429667
Azhar Mahmood,388,19,302,20.42105263157895,128.47682119205297
R Ashwin,376,33,336,11.393939393939394,111.90476190476191
DB Ravi Teja,375,20,317,18.75,118.29652996845425
S Sohal,368,18,290,20.444444444444443,126.89655172413794
A Mishra,366,29,385,12.620689655172415,95.06493506493506
P Negi,365,26,288,14.038461538461538,126.73611111111111
R Bhatia,342,29,284,11.793103448275861,120.4225352112676
P Kumar,340,34,314,10.0,108.28025477707006
AP Tare,339,24,273,14.125,124.17582417582418
SW Billings,337,19,250,17.736842105263158,134.8
JEC Franklin,327,11,300,29.727272727272727,109.00000000000001
RN ten Doeschate,326,17,234,19.176470588235293,139.31623931623932
KV Sharma,317,21,270,15.095238095238095,117.4074074074074
R Vinay Kumar,310,26,271,11.923076923076923,114.39114391143912
DB Das,304,12,260,25.333333333333332,116.92307692307693
C de Grandhomme,304,15,223,20.266666666666666,136.32286995515693
M Ali,302,10,177,30.2,170.6214689265537
LA Pomersbach,302,11,244,27.454545454545453,123.77049180327869
UBT Chand,300,20,300,15.0,100.0
SP Goswami,295,18,290,16.38888888888889,101.72413793103448
DJG Sammy,295,15,241,19.666666666666668,122.40663900414938
Y Nagar,285,15,257,19.0,110.89494163424125
VVS Laxman,282,16,266,17.625,106.01503759398496
GH Vihari,280,18,312,15.555555555555555,89.74358974358975
A Ashish Reddy,280,15,191,18.666666666666668,146.59685863874344
B Chipli,280,16,250,17.5,112.00000000000001
MJ Lumb,278,10,193,27.8,144.04145077720207
MJ Guptill,271,12,196,22.583333333333332,138.26530612244898
R Sathish,270,16,231,16.875,116.88311688311688
M Kaif,259,16,249,16.1875,104.01606425702812
SM Katich,241,10,184,24.1,130.97826086956522
BCJ Cutting,239,11,141,21.727272727272727,169.50354609929076
MD Mishra,237,15,208,15.8,113.9423076923077
MR Marsh,225,12,196,18.75,114.79591836734696
K Goel,218,13,230,16.76923076923077,94.78260869565217
AA Jhunjhunwala,217,14,210,15.5,103.33333333333334
TM Head,205,6,148,34.166666666666664,138.51351351351352
PD Collingwood,203,4,156,50.75,130.12820512820514
SK Warne,198,19,213,10.421052631578947,92.95774647887323
SP Fleming,196,9,165,21.77777777777778,118.7878787878788
AS Raut,194,11,167,17.636363636363637,116.1676646706587
BJ Rohrer,193,7,141,27.571428571428573,136.8794326241135
Salman Butt,193,7,161,27.571428571428573,119.87577639751552
YV Takawale,192,8,178,24.0,107.86516853932584
Bipul Sharma,187,6,121,31.166666666666668,154.54545454545453
C Ingram,184,10,154,18.4,119.48051948051948
B Kumar,184,23,189,8.0,97.35449735449735
FY Fazal,183,9,172,20.333333333333332,106.3953488372093
JJ Roy,183,5,135,36.6,135.55555555555557
CR Brathwaite,182,14,110,13.0,165.45454545454547
AC Voges,181,6,142,30.166666666666668,127.46478873239437
AB Agarkar,179,8,152,22.375,117.76315789473684
C Munro,178,9,141,19.77777777777778,126.24113475177306
MF Maharoof,177,10,122,17.7,145.08196721311475
DH Yagnik,170,9,135,18.88888888888889,125.92592592592592
N Pooran,170,6,106,28.333333333333332,160.37735849056605
CM Gautam,169,9,148,18.77777777777778,114.1891891891892
MG Johnson,168,14,161,12.0,104.34782608695652
MN van Wyk,167,3,132,55.666666666666664,126.51515151515152
DW Steyn,166,22,157,7.545454545454546,105.73248407643312
PA Reddy,164,10,160,16.4,102.49999999999999
R Parag,161,4,126,40.25,127.77777777777777
MN Samuels,161,12,171,13.416666666666666,94.15204678362574
Ankit Sharma,160,10,108,16.0,148.14814814814815
RE van der Merwe,159,11,141,14.454545454545455,112.7659574468085
R McLaren,159,8,169,19.875,94.0828402366864
R Dhawan,153,7,135,21.857142857142858,113.33333333333333
A Hales,150,6,118,25.0,127.11864406779661
SM Pollock,147,8,111,18.375,132.43243243243242
S Vidyut,145,8,108,18.125,134.25925925925927
K Gowtham,145,12,83,12.083333333333334,174.6987951807229
Mohammad Nabi,142,8,91,17.75,156.04395604395606
N Saini,142,12,144,11.833333333333334,98.61111111111111
Sachin Baby,137,9,101,15.222222222222221,135.64356435643566
S Anirudha,136,8,110,17.0,123.63636363636363
SB Styris,131,7,133,18.714285714285715,98.49624060150376
W Jaffer,130,7,121,18.571428571428573,107.43801652892562
S Gopal,129,8,118,16.125,109.32203389830508
Kamran Akmal,128,4,78,32.0,164.1025641025641
D Wiese,127,5,90,25.4,141.11111111111111
P Dogra,127,12,138,10.583333333333334,92.02898550724638
UT Khawaja,127,5,100,25.4,127.0
M Morkel,126,11,90,11.454545454545455,140.0
MC Juneja,125,7,127,17.857142857142858,98.4251968503937
BB Samantray,125,5,113,25.0,110.61946902654867
B Lee,124,10,96,12.4,129.16666666666669
MM Sharma,123,14,117,8.785714285714286,105.12820512820514
AB McDonald,123,5,99,24.6,124.24242424242425
UT Yadav,122,12,124,10.166666666666666,98.38709677419355
Niraj Patel,121,5,118,24.2,102.54237288135593
DL Vettori,121,7,109,17.285714285714285,111.0091743119266
AC Blizzard,120,7,89,17.142857142857142,134.8314606741573
RJ Harris,117,12,111,9.75,105.40540540540539
Misbah-ul-Haq,117,9,81,13.0,144.44444444444443
Z Khan,117,15,138,7.8,84.78260869565217
D Short,116,7,99,16.571428571428573,117.17171717171718
KK Cooper,116,9,68,12.88888888888889,170.58823529411765
TG Southee,115,6,90,19.166666666666668,127.77777777777777
R Tewatia,115,7,89,16.428571428571427,129.21348314606743
M Kartik,113,7,108,16.142857142857142,104.62962962962963
DJ Harris,111,3,101,37.0,109.9009900990099
HV Patel,107,8,68,13.375,157.35294117647058
JDP Oram,106,8,108,13.25,98.14814814814815
LJ Wright,106,4,60,26.5,176.66666666666666
Rashid Khan,105,12,63,8.75,166.66666666666669
RJ Quiney,103,7,102,14.714285714285714,100.98039215686273
DS Kulkarni,101,9,106,11.222222222222221,95.28301886792453
MS Gony,99,9,70,11.0,141.42857142857144
SD Chitnis,99,7,89,14.142857142857142,111.23595505617978
MJ Clarke,98,5,94,19.6,104.25531914893618
CJ Ferguson,98,6,116,16.333333333333332,84.48275862068965
MA Starc,96,6,98,16.0,97.95918367346938
S Curran,95,4,55,23.75,172.72727272727272
AJ Tye,92,7,70,13.142857142857142,131.42857142857142
PR Shah,92,8,91,11.5,101.0989010989011
DJ Jacobs,92,7,97,13.142857142857142,94.84536082474226
S Rana,91,5,81,18.2,112.34567901234568
RT Ponting,91,8,127,11.375,71.65354330708661
AD Nath,90,10,98,9.0,91.83673469387756
S Hetmyer,90,5,73,18.0,123.28767123287672
MJ McClenaghan,88,11,70,8.0,125.71428571428571
Iqbal Abdulla,88,1,83,88.0,106.02409638554218
SL Malinga,88,12,99,7.333333333333333,88.88888888888889
AP Majumdar,87,4,76,21.75,114.4736842105263
J Archer,84,7,61,12.0,137.70491803278688
RE Levi,83,6,73,13.833333333333334,113.69863013698631
LA Carseldine,81,3,68,27.0,119.11764705882352
WPUJC Vaas,81,7,73,11.571428571428571,110.95890410958904
Shahid Afridi,81,8,46,10.125,176.08695652173913
AD Mascarenhas,79,10,78,7.9,101.28205128205127
PJ Cummins,77,6,55,12.833333333333334,140.0
S Rutherford,77,5,53,15.4,145.2830188679245
B Akhil,76,7,55,10.857142857142858,138.1818181818182
IR Jaggi,76,5,97,15.2,78.35051546391753
TR Birt,75,5,58,15.0,129.31034482758622
Washington Sundar,75,6,50,12.5,150.0
M Klinger,73,4,77,18.25,94.8051948051948
RR Sarwan,73,3,75,24.333333333333332,97.33333333333334
L Livingstone,71,3,47,23.666666666666668,151.06382978723406
DL Chahar,71,6,44,11.833333333333334,161.36363636363635
K Rabada,70,6,78,11.666666666666666,89.74358974358975
AA Bilakhia,69,5,85,13.8,81.17647058823529
H Klaasen,67,5,57,13.4,117.54385964912282
RR Powar,67,3,63,22.333333333333332,106.34920634920636
R Singh,66,6,65,11.0,101.53846153846153
R Sharma,66,11,75,6.0,88.0
Mohammad Hafeez,64,8,82,8.0,78.04878048780488
CR Woakes,63,5,66,12.6,95.45454545454545
WD Parnell,63,9,75,7.0,84.0
Anirudh Singh,63,4,66,15.75,95.45454545454545
A Flintoff,62,2,53,31.0,116.98113207547169
S Aravind,59,3,56,19.666666666666668,105.35714285714286
WA Mota,56,5,73,11.2,76.71232876712328
JD Unadkat,55,7,53,7.857142857142857,103.77358490566037
M Rawat,55,5,69,11.0,79.71014492753623
I Sharma,55,7,61,7.857142857142857,90.1639344262295
J Suchith,54,2,46,27.0,117.3913043478261
Mohammed Shami,54,9,52,6.0,103.84615384615385
A Chopra,53,5,71,10.6,74.64788732394366
RR Rossouw,53,6,51,8.833333333333334,103.921568627451
RP Singh,52,15,72,3.466666666666667,72.22222222222221
NM Coulter-Nile,52,7,50,7.428571428571429,104.0
Shoaib Malik,52,4,47,13.0,110.63829787234043
KB Arun Karthik,51,5,50,10.2,102.0
R Rampaul,51,5,49,10.2,104.08163265306123
RV Gomez,50,7,50,7.142857142857143,100.0
SB Bangar,49,6,58,8.166666666666666,84.48275862068965
VR Aaron,49,3,62,16.333333333333332,79.03225806451613
AG Paunikar,49,5,57,9.8,85.96491228070175
Yashpal Singh,47,4,66,11.75,71.21212121212122
Kuldeep Yadav,45,4,54,11.25,83.33333333333334
Sunny Singh,43,4,31,10.75,138.70967741935485
AB Barath,42,2,42,21.0,100.0
SK Trivedi,42,8,59,5.25,71.1864406779661
JDS Neesham,42,3,46,14.0,91.30434782608695
A Nehra,41,8,59,5.125,69.49152542372882
LPC Silva,40,2,25,20.0,160.0
S Dube,40,4,33,10.0,121.21212121212122
BR Dunk,40,3,35,13.333333333333334,114.28571428571428
Umar Gul,39,3,19,13.0,205.26315789473685
AUK Pathan,39,5,23,7.8,169.56521739130434
DJ Thornely,39,3,52,13.0,75.0
MM Patel,39,5,41,7.8,95.1219512195122
SP Jackson,38,2,31,19.0,122.58064516129032
JO Holder,38,5,31,7.6,122.58064516129032
Anureet Singh,37,4,46,9.25,80.43478260869566
S Narwal,37,4,27,9.25,137.03703703703704
JJ Bumrah,37,3,38,12.333333333333334,97.36842105263158
Sohail Tanvir,36,3,29,12.0,124.13793103448276
L Balaji,36,7,47,5.142857142857143,76.59574468085107
KW Richardson,36,3,39,12.0,92.3076923076923
Joginder Sharma,36,4,30,9.0,120.0
AN Ahmed,36,1,26,36.0,138.46153846153845
SN Thakur,36,4,21,9.0,171.42857142857142
A Kumble,35,2,46,17.5,76.08695652173914
B Sumanth,35,1,37,35.0,94.5945945945946
S Sreesanth,34,3,52,11.333333333333334,65.38461538461539
AP Dole,34,2,22,17.0,154.54545454545453
A Mithun,34,5,25,6.8,136.0
L Ronchi,34,3,34,11.333333333333334,100.0
M Santner,33,1,23,33.0,143.47826086956522
D Salunkhe,33,1,24,33.0,137.5
Basil Thampi,32,2,33,16.0,96.96969696969697
RJ Peterson,32,3,29,10.666666666666666,110.34482758620689
Mohammed Siraj,32,3,36,10.666666666666666,88.88888888888889
S Nadeem,32,14,77,2.2857142857142856,41.55844155844156
S Sriram,31,2,36,15.5,86.11111111111111
T Taibu,31,3,26,10.333333333333334,119.23076923076923
M Markande,30,3,29,10.0,103.44827586206897
J Syed Mohammad,29,2,26,14.5,111.53846153846155
VH Zol,29,2,26,14.5,111.53846153846155
SB Jakati,28,2,29,14.0,96.55172413793103
M Lomror,28,2,24,14.0,116.66666666666667
JM Kemp,26,2,24,13.0,108.33333333333333
NL McCullum,26,3,21,8.666666666666666,123.80952380952381
AB Dinda,26,9,47,2.888888888888889,55.319148936170215
Sandeep Sharma,26,3,38,8.666666666666666,68.42105263157895
A Choudhary,25,2,20,12.5,125.0
S Chanderpaul,25,3,31,8.333333333333334,80.64516129032258
KC Cariappa,24,3,21,8.0,114.28571428571428
MA Khote,24,2,20,12.0,120.0
ER Dwivedi,24,2,14,12.0,171.42857142857142
PJ Sangwan,24,7,39,3.4285714285714284,61.53846153846154
BMAJ Mendis,23,3,27,7.666666666666667,85.18518518518519
T Curran,23,3,27,7.666666666666667,85.18518518518519
J Arunkumar,23,3,23,7.666666666666667,100.0
NS Naik,23,2,31,11.5,74.19354838709677
SW Tait,23,3,26,7.666666666666667,88.46153846153845
MS Wade,22,3,33,7.333333333333333,66.66666666666666
GB Hogg,22,2,22,11.0,100.0
YS Chahal,22,4,48,5.5,45.83333333333333
CA Ingram,21,2,26,10.5,80.76923076923077
DE Bollinger,21,1,22,21.0,95.45454545454545
RR Raje,20,1,18,20.0,111.11111111111111
M Muralitharan,20,6,29,3.3333333333333335,68.96551724137932
K Paul,20,4,24,5.0,83.33333333333334
AC Thomas,20,2,19,10.0,105.26315789473684
H Brar,20,0,12,,166.66666666666669
Imran Tahir,20,4,27,5.0,74.07407407407408
NJ Maddinson,20,3,21,6.666666666666667,95.23809523809523
Harpreet Singh,20,2,26,10.0,76.92307692307693
R Shukla,19,2,23,9.5,82.6086956521739
DR Martyn,19,2,24,9.5,79.16666666666666
R Bishnoi,19,3,17,6.333333333333333,111.76470588235294
P Sahu,19,0,13,,146.15384615384613
A Mukund,19,2,22,9.5,86.36363636363636
Y Gnaneswara Rao,19,1,17,19.0,111.76470588235294
P R Barman,19,1,24,19.0,79.16666666666666
Vishnu Vinod,19,3,26,6.333333333333333,73.07692307692307
JJ van der Wath,18,2,16,9.0,112.5
Harmeet Singh,18,2,12,9.0,150.0
BJ Haddin,18,1,11,18.0,163.63636363636365
PV Tambe,18,1,39,18.0,46.15384615384615
DS Lehmann,18,2,18,9.0,100.0
Parvez Rasool,17,2,20,8.5,85.0
AS Rajpoot,17,3,30,5.666666666666667,56.666666666666664
PP Ojha,16,10,44,1.6,36.36363636363637
CK Kapugedera,16,3,23,5.333333333333333,69.56521739130434
S Singh,16,1,17,16.0,94.11764705882352
SA Abbott,15,1,13,15.0,115.38461538461537
C Madan,15,1,19,15.0,78.94736842105263
GR Napier,15,1,16,15.0,93.75
VY Mahesh,15,2,26,7.5,57.692307692307686
RD Chahar,15,2,13,7.5,115.38461538461537
A Joseph,15,0,13,,115.38461538461537
SD Lad,15,1,13,15.0,115.38461538461537
F Behardien,14,2,13,7.0,107.6923076923077
MDKJ Perera,14,2,13,7.0,107.6923076923077
S Badree,13,5,23,2.6,56.52173913043478
S Mavi,13,3,15,4.333333333333333,86.66666666666667
DT Patil,13,1,13,13.0,100.0
KJ Abbott,13,1,8,13.0,162.5
D Shorey,13,2,17,6.5,76.47058823529412
Swapnil Singh,12,3,20,4.0,60.0
T Thushara,12,2,18,6.0,66.66666666666666
TA Boult,12,2,14,6.0,85.71428571428571
DAJ Bracewell,12,0,9,,133.33333333333331
M Ur Rahman,12,2,11,6.0,109.09090909090908
AR Bawne,12,0,12,,100.0
AA Chavan,12,1,11,12.0,109.09090909090908
Karanveer Singh,12,1,17,12.0,70.58823529411765
K Upadhyay,12,0,9,,133.33333333333331
S Kaul,12,3,28,4.0,42.857142857142854
M Ntini,11,1,18,11.0,61.111111111111114
BB Sran,11,1,14,11.0,78.57142857142857
T Henderson,11,1,16,11.0,68.75
T Kohli,11,3,19,3.6666666666666665,57.89473684210527
DNT Zoysa,11,1,9,11.0,122.22222222222223
X Thalaivan Sargunam,10,1,17,10.0,58.82352941176471
J Theron,10,2,12,5.0,83.33333333333334
AG Murtaza,10,1,14,10.0,71.42857142857143
TD Paine,10,2,26,5.0,38.46153846153847
KAJ Roach,10,1,9,10.0,111.11111111111111
SMSM Senanayake,10,1,17,10.0,58.82352941176471
D du Preez,10,1,13,10.0,76.92307692307693
AA Noffke,9,1,10,9.0,90.0
SM Harwood,9,0,13,,69.23076923076923
Jaskaran Singh,8,2,11,4.0,72.72727272727273
CJ McKay,8,1,15,8.0,53.333333333333336
J Searles,8,1,6,8.0,133.33333333333331
TS Mills,8,3,11,2.6666666666666665,72.72727272727273
P Chopra,8,1,6,8.0,133.33333333333331
TM Srivastava,8,1,11,8.0,72.72727272727273
CK Langeveldt,8,2,9,4.0,88.88888888888889
UA Birla,7,1,14,7.0,50.0
VS Malik,7,1,7,7.0,100.0
Pankaj Singh,7,2,12,3.5,58.333333333333336
AF Milne,7,3,12,2.3333333333333335,58.333333333333336
N Naik,7,1,16,7.0,43.75
AN Ghosh,7,2,8,3.5,87.5
Ankit Soni,7,2,8,3.5,87.5
I Malhotra,7,0,4,,175.0
R Bhui,7,2,17,3.5,41.17647058823529
I Sodhi,7,2,17,3.5,41.17647058823529
DM Bravo,6,0,5,,120.0
SS Shaikh,6,0,7,,85.71428571428571
SB Joshi,6,2,14,3.0,42.857142857142854
J Yadav,6,0,10,,60.0
BA Bhatt,6,0,7,,85.71428571428571
S Sharma,6,0,3,,200.0
PSP Handscomb,6,1,12,6.0,50.0
B Stanlake,5,0,2,,250.0
A Zampa,5,2,8,2.5,62.5
R Salam,5,0,4,,125.0
Shivam Sharma,5,1,3,5.0,166.66666666666669
SJ Srivastava,5,1,5,5.0,100.0
P Awana,5,3,14,1.6666666666666667,35.714285714285715
KMDN Kulasekara,5,0,2,,250.0
B Laughlin,5,2,13,2.5,38.46153846153847
DP Nannes,4,1,13,4.0,30.76923076923077
A Uniyal,4,1,7,4.0,57.14285714285714
FH Edwards,4,1,5,4.0,80.0
A Chandila,4,1,7,4.0,57.14285714285714
A Dananjaya,4,0,5,,80.0
CRD Fernando,4,1,3,4.0,133.33333333333331
GD McGrath,4,1,5,4.0,80.0
M Ashwin,4,3,8,1.3333333333333333,50.0
H Vihari,4,2,8,2.0,50.0
Avesh Khan,4,0,3,,133.33333333333331
RS Sodhi,4,0,2,,200.0
VRV Singh,4,1,2,4.0,200.0
CJ Jordan,3,1,5,3.0,60.0
S Tyagi,3,0,4,,75.0
A Turner,3,3,10,1.0,30.0
R Ninan,3,1,6,3.0,50.0
D Kalyankrishna,3,1,7,3.0,42.857142857142854
JE Taylor,3,0,3,,100.0
H Viljoen,3,2,5,1.5,60.0
BAW Mendis,3,2,6,1.5,50.0
Mohammad Asif,3,2,6,1.5,50.0
Kamran Khan,3,1,5,3.0,60.0
Younis Khan,3,1,7,3.0,42.857142857142854
KP Appanna,2,1,3,2.0,66.66666666666666
RS Gavaskar,2,1,8,2.0,25.0
SB Wagh,2,2,3,1.0,66.66666666666666
Mohammad Ashraful,2,1,10,2.0,20.0
Mashrafe Mortaza,2,0,2,,100.0
S Randiv,2,1,4,2.0,50.0
Shoaib Akhtar,2,1,7,2.0,28.57142857142857
RG More,2,0,2,,100.0
A Singh,2,4,10,0.5,20.0
VS Yeligati,2,1,2,2.0,100.0
H Das,2,1,5,2.0,40.0
SE Bond,1,1,2,1.0,50.0
PM Sarvesh Kumar,1,0,2,,50.0
Shoaib Ahmed,1,2,6,0.5,16.666666666666664
Mustafizur Rahman,1,1,3,1.0,33.33333333333333
LH Ferguson,1,0,1,,100.0
H Gurney,1,0,5,,20.0
L Plunkett,1,1,3,1.0,33.33333333333333
BE Hendricks,1,1,3,1.0,33.33333333333333
P Parameswaran,1,0,2,,50.0
DP Vijaykumar,1,0,1,,100.0
DJ Muthuswami,1,1,3,1.0,33.33333333333333
M Wood,1,1,3,1.0,33.33333333333333
NJ Rimmington,1,0,1,,100.0
P Krishna,1,1,7,1.0,14.285714285714285
M de Lange,1,1,2,1.0,50.0
K Ahmed,0,1,1,0.0,0.0
C Nanda,0,1,1,0.0,0.0
YA Abdulla,0,0,1,,0.0
U Kaul,0,0,1,,0.0
P Raj,0,0,1,,0.0
S Lamichhane,0,1,1,0.0,0.0
RR Bhatkal,0,2,2,0.0,0.0
IC Pandey,0,1,2,0.0,0.0
L Ablish,0,0,2,,0.0
Abdur Razzak,0,0,2,,0.0
Sunny Gupta,0,1,1,0.0,0.0
ND Doshi,0,1,13,0.0,0.0
J Denly,0,1,1,0.0,0.0
S Ladda,0,2,9,0.0,0.0
V Pratap Singh,0,1,1,0.0,0.0
S Kaushik,0,1,1,0.0,0.0
