Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
ACTINOPTERYGII,79,10,89,122,6,217,626,"1,000","1,241","2,867",0,630,"13,064","4,356","21,006"
AMPHIBIA,35,2,37,146,1,184,663,"1,060",721,"2,444",0,421,"3,129","1,184","7,215"
ANTHOZOA,0,0,0,1,0,1,6,26,202,234,0,175,293,166,868
ARACHNIDA,9,0,9,21,0,30,68,88,62,218,0,20,91,55,393
ASTEROIDEA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
AVES,159,5,164,22,0,186,223,460,798,"1,481",0,"1,001","8,460",52,"11,158"
BIVALVIA,32,0,32,15,0,47,83,68,60,211,4,56,339,170,812
BRANCHIOPODA,0,0,0,0,0,0,8,13,22,43,1,1,1,1,47
CEPHALASPIDOMORPHI,1,0,1,1,0,2,2,4,2,8,0,3,22,3,37
CEPHALOPODA,0,0,0,0,0,0,1,2,2,5,0,2,324,419,750
CHILOPODA,0,0,0,2,0,2,3,5,1,9,0,0,1,0,10
CHONDRICHTHYES,0,0,0,3,0,3,89,124,180,393,0,124,534,172,"1,223"
CLITELLATA,2,0,2,4,0,6,6,13,8,27,0,12,74,107,222
COLLEMBOLA,0,0,0,2,0,2,2,0,2,4,0,4,0,1,9
DIPLOPODA,3,0,3,4,0,7,35,32,15,82,0,65,52,41,243
ECHINOIDEA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENOPLA,1,0,1,1,0,2,1,1,1,3,0,0,1,1,6
GASTROPODA,267,14,281,134,2,417,617,526,980,"2,123",0,649,"2,668","1,649","7,370"
HEXANAUPLIA,1,0,1,0,0,1,1,0,24,25,8,0,0,3,37
HOLOTHUROIDEA,0,0,0,0,0,0,0,7,9,16,0,0,111,244,371
HYDROZOA,0,0,0,1,0,1,1,2,2,5,0,1,8,2,16
INSECTA,63,1,64,77,0,141,368,741,850,"1,959",3,652,"5,841","2,961","11,480"
MALACOSTRACA,7,1,8,18,1,27,141,161,309,611,0,71,"1,199","1,130","3,019"
MAMMALIA,85,2,87,28,0,115,226,546,555,"1,327",0,371,"3,324",845,"5,954"
MAXILLOPODA,1,0,1,0,0,1,6,0,47,53,0,0,0,19,73
MEROSTOMATA,0,0,0,0,0,0,0,1,1,2,0,0,0,2,4
MONOPLACOPHORA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MYXINI,0,0,0,0,0,0,1,2,6,9,0,2,35,30,76
OSTRACODA,2,0,2,0,0,2,2,0,9,11,0,0,0,0,13
POLYCHAETA,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2
POLYPLACOPHORA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
REPTILIA,32,2,34,44,0,78,368,658,561,"1,587",2,497,"5,715","1,297","9,132"
SARCOPTERYGII,0,0,0,0,0,0,1,1,1,3,0,0,4,0,7
TURBELLARIA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
UDEONYCHOPHORA,0,0,0,0,0,0,3,2,4,9,0,1,0,1,11
PHAEOPHYCEAE,0,0,0,4,0,4,4,1,1,6,0,0,0,9,15
AGARICOMYCETES,0,0,0,2,0,2,12,60,113,185,0,48,154,37,424
ARTHONIOMYCETES,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3
DOTHIDEOMYCETES,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2
EUROTIOMYCETES,0,0,0,0,0,0,0,0,2,2,0,0,1,3,6
GEOGLOSSOMYCETES,0,0,0,0,0,0,0,0,2,2,0,1,0,1,4
LECANOROMYCETES,0,0,0,0,0,0,12,28,15,55,0,1,19,0,75
LEOTIOMYCETES,0,0,0,0,0,0,0,1,1,2,0,1,4,1,8
NOT ASSIGNED,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
PEZIZOMYCETES,0,0,0,0,0,0,1,1,3,5,0,4,1,2,12
SORDARIOMYCETES,0,0,0,0,0,0,2,0,1,3,0,0,1,3,7
USTILAGINOMYCETES,0,0,0,0,0,0,0,0,2,2,0,0,1,0,3
ANDREAEOPSIDA,0,0,0,0,0,0,0,1,1,2,0,0,0,1,3
ANTHOCEROTOPSIDA,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2
BRYOPSIDA,4,0,4,0,0,4,24,36,33,93,0,22,35,17,171
CHAROPHYACEAE,0,0,0,0,0,0,0,0,0,0,0,0,11,3,14
CHLOROPHYCEAE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CYCADOPSIDA,0,4,4,0,4,8,53,65,74,192,0,63,45,3,307
FLORIDEOPHYCEAE,1,0,1,2,0,3,6,0,3,9,0,0,4,44,58
GINKGOOPSIDA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
GNETOPSIDA,0,0,0,0,0,0,0,1,4,5,0,7,76,10,98
JUNGERMANNIOPSIDA,0,0,0,0,0,0,12,23,20,55,0,10,18,2,85
LILIOPSIDA,13,7,20,78,12,110,708,"1,327","1,061","3,096",9,472,"3,758",924,"8,279"
LYCOPODIOPSIDA,0,0,0,2,0,2,14,12,16,42,0,9,42,12,105
MAGNOLIOPSIDA,102,31,133,417,29,579,"3,904","7,352","7,294","18,550",143,"2,592","21,122","3,326","45,866"
MARCHANTIOPSIDA,0,0,0,0,0,0,2,3,2,7,0,1,1,4,13
PINOPSIDA,0,0,0,1,0,1,29,96,80,205,0,99,298,8,610
POLYPODIOPSIDA,2,1,3,8,0,11,66,88,84,238,0,37,265,80,623
POLYTRICHOPSIDA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SPHAGNOPSIDA,0,0,0,0,0,0,1,2,2,5,0,0,1,0,6
TAKAKIOPSIDA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
ULVOPHYCEAE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Total,902,80,982,"1,160",55,"2,197","8,404","14,647","15,492","38,543",170,"8,127","71,148","19,404","1,38,374"