Sector_score,LOCATION_ID,PARA_A,SCORE_A,PARA_B,SCORE_B,TOTAL,numbers,Marks,Money_Value,MONEY_Marks,District,Loss,LOSS_SCORE,History,History_score,Score,Risk
3.89,23,4.18,6,2.5,2,6.68,5,2,3.38,2,2,0,2,0,2,2.4,1
3.89,6,0,2,4.83,2,4.83,5,2,0.94,2,2,0,2,0,2,2,0
3.89,6,0.51,2,0.23,2,0.74,5,2,0,2,2,0,2,0,2,2,0
3.89,6,0,2,10.8,6,10.8,6,6,11.75,6,2,0,2,0,2,4.4,1
3.89,6,0,2,0.08,2,0.08,5,2,0,2,2,0,2,0,2,2,0
3.89,6,0,2,0.83,2,0.83,5,2,2.95,2,2,0,2,0,2,2,0
3.89,7,1.1,4,7.41,4,8.51,5,2,44.95,6,2,0,2,0,2,3.2,1
3.89,8,8.5,6,12.03,6,20.53,5.5,4,7.79,4,2,0,2,0,2,4.2,1
3.89,8,8.4,6,11.05,6,19.45,5.5,4,7.34,4,2,0,2,0,2,4.2,1
3.89,8,3.98,6,0.99,2,4.97,5,2,1.93,2,2,0,2,0,2,2.4,1
3.89,8,5.43,6,10.77,6,16.2,5,2,4.42,2,2,0,2,0,2,3.6,1
3.89,8,15.38,6,40.14,6,55.52,5,2,0.96,2,2,1,4,1,4,4,1
3.89,8,5.47,6,7.63,4,13.1,5,2,10.43,6,2,0,2,1,4,3.6,1
3.89,8,1.09,4,0.35,2,1.44,5,2,0,2,2,0,2,0,2,2.2,1
3.89,8,0,2,0.84,2,0.84,5,2,0.007,2,2,0,2,0,2,2,0
3.89,13,1.95,4,9.01,4,10.96,5,2,9,4,2,0,2,0,2,3,1
3.89,37,8.54,6,31.63,6,40.17,5,2,41.28,6,2,0,2,1,4,4.2,1
3.89,37,4.18,6,4.83,2,9.01,5.5,4,14.03,6,2,0,2,0,2,3.2,1
3.89,37,1.81,4,1.03,2,2.84,5,2,0,2,2,0,2,0,2,2.2,1
3.89,37,4.86,6,46.78,6,51.64,5.5,4,63.18,6,2,0,2,0,2,4.4,1
3.89,24,6.26,6,14.1,6,20.36,5,2,34.24,6,2,0,2,1,4,4.2,1
3.89,3,0.02,2,5.94,4,5.96,5,2,0.01,2,2,0,2,0,2,2.6,1
3.89,3,5.31,6,22.79,6,28.1,5,2,205.19,6,2,0,2,1,4,4.2,1
3.89,3,0.94,2,0.01,2,0.95,5,2,0.1,2,2,0,2,0,2,2,0
3.89,4,5.78,6,57.92,6,63.7,5,2,11.16,6,2,0,2,0,2,4,1
3.89,4,7.42,6,2.24,2,9.66,5,2,1.25,2,2,0,2,0,2,2.4,1
3.89,4,0,2,1.1,2,1.1,5,2,0.007,2,2,0,2,0,2,2,0
3.89,14,6.85,6,31.76,6,38.61,5,2,1.46,2,2,0,2,0,2,3.6,1
3.89,14,0,2,1.03,2,1.03,5,2,0,2,2,0,2,0,2,2,0
3.89,37,0,2,0.75,2,0.75,5,2,6.78,4,2,0,2,0,2,2.2,1
3.89,37,2.4,6,16.63,6,19.03,5,2,1.16,2,2,0,2,0,2,3.6,1
3.89,5,0,2,0.05,2,0.05,5,2,152.41,6,2,0,2,0,2,2.4,1
3.89,5,0,2,1.76,2,1.76,5,2,1.08,2,2,0,2,0,2,2,0
3.89,5,0,2,2.97,2,2.97,5,2,2.84,2,2,0,2,0,2,2,0
3.89,5,0,2,0.43,2,0.43,5,2,0,2,2,0,2,0,2,2,0
3.89,5,0,2,0.94,2,0.94,5,2,0.9,2,2,0,2,0,2,2,0
3.89,20,9.01,6,19.82,6,28.83,5,2,9.67,4,2,0,2,0,2,3.8,1
3.89,19,0,2,0.05,2,0.05,5,2,0,2,2,0,2,0,2,2,0
3.89,19,11.95,6,30.9,6,42.85,5,2,32.68,6,2,0,2,0,2,4,1
3.89,19,7.97,6,17.18,6,25.15,5,2,935.03,6,2,0,2,0,2,4,1
3.89,19,0,2,3.71,2,3.71,5,2,29.63,6,2,0,2,0,2,2.4,1
3.89,19,0.62,2,2.02,2,2.64,5,2,0.11,2,2,0,2,0,2,2,0
3.89,19,0,2,2.27,2,2.27,5,2,2.62,2,2,0,2,0,2,2,0
3.89,19,0,2,0,2,0,5,2,0,2,2,0,2,0,2,2,0
3.89,19,1.32,4,0,2,1.32,5,2,0.06,2,2,0,2,0,2,2.2,1
3.89,19,0,2,1.03,2,1.03,5,2,2.43,2,2,0,2,0,2,2,0
3.89,21,0,2,15.38,6,15.38,5,2,126.13,6,2,0,2,0,2,3.6,1
3.89,21,0,2,1.02,2,1.02,5,2,0,2,2,0,2,0,2,2,0
3.89,21,0,2,20.71,6,20.71,5,2,20.79,6,2,0,2,2,6,4,1
3.89,22,2.95,6,6.56,4,9.51,5,2,156.92,6,2,0,2,0,2,3.4,1
3.89,22,1.97,4,2.1,2,4.07,5,2,12.29,6,2,2,6,0,2,3,1
3.89,22,0,2,18.05,6,18.05,5,2,2.29,2,2,0,2,0,2,3.2,1
3.89,22,0,2,0.93,2,0.93,5,2,7.78,4,2,0,2,0,2,2.2,1
3.89,9,0,2,1.61,2,1.61,5,2,2.51,2,2,0,2,0,2,2,0
3.89,9,6.32,6,9.01,4,15.33,5,2,8.31,4,2,0,2,0,2,3.2,1
3.89,9,0,2,1.05,2,1.05,5,2,0.16,2,2,0,2,0,2,2,0
3.89,11,0,2,6.8,4,6.8,5,2,47.9,6,2,0,2,0,2,3,1
3.89,11,14.04,6,10.83,6,24.87,5,2,8.91,4,2,0,2,0,2,3.8,1
3.89,11,6.67,6,18.02,6,24.69,5.5,4,4.95,2,2,0,2,2,6,4.4,1
3.89,11,0,2,0,2,0,5,2,1.75,2,2,0,2,0,2,2,0
3.89,11,0,2,0.08,2,0.08,5,2,0.68,2,2,0,2,0,2,2,0
3.89,11,1.26,4,0.05,2,1.31,5,2,0,2,2,0,2,0,2,2.2,1
3.89,12,0,2,0.03,2,0.03,5,2,0.06,2,2,0,2,0,2,2,0
3.89,12,0,2,0.79,2,0.79,5,2,15.82,6,2,0,2,0,2,2.4,1
3.89,12,4.76,6,13.03,6,17.79,5,2,0.58,2,2,0,2,1,4,3.8,1
3.89,12,8.81,6,9.02,4,17.83,5,2,215.31,6,2,0,2,1,4,3.6,1
3.89,12,0,2,0.07,2,0.07,5,2,0,2,2,0,2,0,2,2,0
3.89,12,13.92,6,2.2,2,16.12,5,2,0.05,2,2,0,2,0,2,2.4,1
3.89,12,1.07,4,0,2,1.07,5,2,0,2,2,0,2,0,2,2.2,1
3.89,12,0,2,0.89,2,0.89,5,2,0,2,2,0,2,0,2,2,0
3.89,8,0,2,3.98,2,3.98,6,6,53.34,6,2,0,2,0,2,3.2,1
3.89,8,10,6,74.26,6,84.26,5.5,4,11.16,6,2,0,2,3,6,4.8,1
3.89,29,4.24,6,8.06,4,12.3,5,2,10.69,6,2,0,2,0,2,3.4,1
3.89,29,12.27,6,72.46,6,84.73,5,2,5.69,4,2,0,2,0,2,3.8,1
3.89,29,0,2,0.96,2,0.96,5,2,1.35,2,2,0,2,0,2,2,0
3.89,30,12.7,6,1.28,2,13.98,5,2,11.69,6,2,0,2,0,2,2.8,1
3.89,38,0,2,63.13,6,63.13,5,2,14.6,6,2,0,2,1,4,3.8,1
3.89,31,1.99,4,10.24,6,12.23,5,2,20.78,6,2,0,2,0,2,3.8,1
3.89,2,0.05,2,0.21,2,0.26,5.5,4,102.22,6,2,0,2,0,2,2.8,1
3.89,2,0,2,7.37,4,7.37,5,2,0.74,2,2,0,2,0,2,2.6,1
3.89,2,0,2,3.72,2,3.72,5,2,0,2,2,0,2,9,6,2.4,1
3.89,2,71.48,6,25.63,6,97.11,5,2,873.37,6,2,0,2,0,2,4,1
3.89,2,0,2,0,2,0,5,2,0,2,2,0,2,0,2,2,0
3.89,2,0.74,2,1,2,1.74,5,2,0,2,2,0,2,0,2,2,0
3.89,2,0,2,0.58,2,0.58,5,2,0,2,2,0,2,0,2,2,0
3.89,9,8.46,6,72.76,6,81.22,5,2,1.4,2,2,1,4,2,6,4.2,1
3.89,9,0.42,2,0.07,2,0.49,5,2,0.42,2,2,0,2,0,2,2,0
3.89,32,0.01,2,1.29,2,1.3,5.5,4,36.52,6,4,0,2,0,2,3,1
3.89,32,6.85,6,65.93,6,72.78,5.5,4,6.02,4,4,0,2,0,2,4.4,1
3.89,32,5.37,6,8.62,4,13.99,5,2,17.16,6,4,0,2,0,2,3.6,1
3.89,32,4.93,6,6.54,4,11.47,5.5,4,12.91,6,4,0,2,0,2,4,1
3.89,32,1.22,4,0.06,2,1.28,5,2,0,2,4,0,2,0,2,2.4,1
3.89,32,0,2,0.85,2,0.85,5,2,0,2,4,0,2,0,2,2.2,1
3.89,16,15.72,6,57.94,6,73.66,6,6,10.79,6,6,0,2,0,2,5.2,1
3.89,16,4.95,6,42.61,6,47.56,5,2,3.46,2,6,0,2,1,4,4.2,1
3.89,16,0,2,0.08,2,0.08,5,2,0.06,2,6,0,2,0,2,2.4,1
3.89,16,1.19,4,12.88,6,14.07,5,2,2.33,2,6,0,2,0,2,3.8,1
3.89,16,0,2,2.72,2,2.72,5,2,5.58,4,6,0,2,0,2,2.6,1
3.89,16,0,2,1.66,2,1.66,5,2,0.76,2,6,0,2,0,2,2.4,1
3.89,16,6.47,6,12.18,6,18.65,5,2,25.27,6,6,0,2,0,2,4.4,1
3.89,16,1.33,4,0,2,1.33,5,2,0.2,2,6,0,2,0,2,2.6,1
3.89,16,0,2,1.1,2,1.1,5,2,0,2,6,0,2,0,2,2.4,1
3.89,33,2.57,6,4.49,2,7.06,5,2,7.56,4,2,0,2,1,4,2.8,1
3.89,15,0,2,1.88,2,1.88,5,2,0,2,2,0,2,0,2,2,0
3.89,15,0.77,2,18.31,6,19.08,5,2,67.03,6,2,0,2,0,2,3.6,1
3.89,15,5.23,6,5.89,4,11.12,5,2,19.4,6,2,0,2,0,2,3.4,1
3.89,15,6.59,6,23.66,6,30.25,5,2,34.83,6,2,0,2,1,4,4.2,1
3.89,15,7.18,6,14.63,6,21.81,5,2,98.75,6,2,0,2,0,2,4,1
3.89,15,1,4,0,2,1,5,2,0.36,2,2,0,2,0,2,2.2,1
3.89,13,0,2,0.06,2,0.06,5,2,0,2,2,0,2,0,2,2,0
3.89,13,2.63,6,2.55,2,5.18,5,2,0,2,2,0,2,0,2,2.4,1
3.89,13,0,2,0.87,2,0.87,5,2,0,2,2,0,2,0,2,2,0
3.89,36,10.96,6,41.47,6,52.43,5,2,35.21,6,2,0,2,1,4,4.2,1
3.89,6,0,2,0.23,2,0.23,5,2,0,2,2,0,2,0,2,2,0
3.41,34,4.25,6,45.51,6,49.76,5.5,4,8.2,4,2,0,2,0,2,4.2,1
3.41,18,1.98,4,51.42,6,53.4,5.5,4,20.33,6,2,0,2,1,4,4.4,1
3.41,25,1.44,4,29.25,6,30.69,5,2,35.13,6,2,0,2,0,2,3.8,1
3.41,39,1.52,4,37.33,6,38.85,5.5,4,63.7,6,2,0,2,0,2,4.2,1
3.41,39,3.63,6,10.85,4,14.48,5,2,0.28,2,2,0,2,0,2,3,1
3.41,2,1.35,4,66.35,6,67.7,5.5,4,27.13,6,2,0,2,3,6,4.6,1
3.41,39,9.97,6,88.73,6,98.7,5,2,10.27,6,2,0,2,0,2,4,1
3.41,27,1.41,4,36.16,6,37.57,5,2,13.05,6,2,2,6,0,2,4.2,1
3.41,8,1.98,4,67.91,6,69.89,5.5,4,18.79,6,2,0,2,1,4,4.4,1
3.41,11,10.08,6,22.31,6,32.39,5.5,4,16.82,6,2,0,2,0,2,4.4,1
3.41,11,1.44,4,9.65,4,11.09,6.5,6,10.03,6,2,0,2,0,2,4,1
3.41,12,25.4,6,51.74,6,77.14,5,2,12.67,6,6,0,2,2,6,4.8,1
3.41,12,3.21,6,72.07,6,75.28,5,2,13.79,6,6,0,2,1,4,4.6,1
3.41,9,12.28,6,20.62,6,32.9,5,2,10.16,6,2,0,2,1,4,4.2,1
3.41,9,6.93,6,70.26,6,77.19,5,2,9.73,4,2,0,2,0,2,3.8,1
3.41,16,3.34,6,37.59,6,40.93,5,2,26.95,6,2,0,2,0,2,4,1
3.41,13,15.66,6,74.53,6,90.19,5,2,29.07,6,2,0,2,0,2,4,1
3.41,13,2.92,6,5.24,4,8.16,5,2,9.76,4,2,0,2,0,2,3.2,1
3.41,37,0.83,2,28.06,6,28.89,5,2,13.31,6,2,0,2,0,2,3.6,1
3.41,13,1.97,4,30.25,6,32.22,5,2,0.68,2,2,0,2,0,2,3.4,1
3.41,5,10,6,47.9,6,57.9,5,2,7.7,4,2,0,2,0,2,3.8,1
3.41,35,13.06,6,45.42,6,58.48,5,2,10.4,6,2,0,2,0,2,4,1
3.41,38,1.35,4,33.25,6,34.6,5.5,4,20.62,6,2,0,2,0,2,4.2,1
3.41,4,4.13,6,16.74,6,20.87,5,2,44.02,6,2,0,2,0,2,4,1
3.41,31,12.62,6,80.06,6,92.68,5.5,4,43.53,6,4,0,2,0,2,4.6,1
3.41,31,16.36,6,41.1,6,57.46,5,2,12.03,6,4,0,2,0,2,4.2,1
3.41,16,12.68,6,41,6,53.68,5.5,4,11.88,6,2,0,2,0,2,4.4,1
3.41,16,11.73,6,85.87,6,97.6,5,2,6.96,4,2,0,2,1,4,4,1
3.41,22,5.15,6,44.67,6,49.82,5.5,4,21.07,6,2,0,2,0,2,4.4,1
3.41,7,6.61,6,55.62,6,62.23,5,2,57.16,6,2,1,4,0,2,4.2,1
3.41,8,8.03,6,94.43,6,102.46,5.5,4,10.65,6,2,0,2,2,6,4.8,1
3.41,8,1.21,4,34.03,6,35.24,5,2,5.36,4,2,0,2,0,2,3.6,1
3.41,19,1.64,4,46.21,6,47.85,5,2,2.45,2,2,0,2,0,2,3.4,1
3.41,19,1.21,4,43.84,6,45.05,5.5,4,31.61,6,2,0,2,0,2,4.2,1
3.41,29,1.1,4,87.71,6,88.81,5.5,4,34.32,6,2,0,2,0,2,4.2,1
3.41,29,4.17,6,24.37,6,28.54,5,2,4.24,2,2,0,2,0,2,3.6,1
3.41,20,1.08,4,32.71,6,33.79,5,2,8.38,4,2,0,2,0,2,3.6,1
3.41,29,12.29,6,25.74,6,38.03,5,2,22.1,6,2,1,4,0,2,4.2,1
3.41,32,12.54,6,31.62,6,44.16,5,2,54.07,6,2,0,2,0,2,4,1
3.41,9,17.26,6,44.22,6,61.48,5,2,27.68,6,2,0,2,1,4,4.2,1
3.41,30,1.15,4,20.1,6,21.25,6,6,21.45,6,2,0,2,0,2,4.6,1
3.41,15,20.04,6,48.9,6,68.94,5,2,11.09,6,2,0,2,0,2,4,1
3.41,15,12.17,6,47,6,59.17,6,6,10.14,6,2,0,2,0,2,4.8,1
3.41,40,10.37,6,105.56,6,115.93,9,6,52.13,6,2,0,2,0,2,4.8,1
3.41,41,9.67,6,62.25,6,71.92,5.5,4,17.02,6,2,0,2,0,2,4.4,1
3.41,42,3.77,6,40.86,6,44.63,5,2,18,6,2,0,2,0,2,4,1
3.41,22,4.73,6,60.22,6,64.95,5,2,69.76,6,2,0,2,0,2,4,1
3.41,11,6.31,6,19.42,6,25.73,5.5,4,13.88,6,2,0,2,0,2,4.4,1
3.41,13,5.61,6,1.56,2,7.17,5,2,4.03,2,2,0,2,0,2,2.4,1
3.41,37,5.22,6,20.94,6,26.16,5,2,2.44,2,2,0,2,0,2,3.6,1
3.41,19,0.31,2,58.12,6,58.43,5,2,78.98,6,2,1,4,0,2,3.8,1
3.41,15,2.86,6,17.09,6,19.95,5.5,4,6.88,4,2,0,2,0,2,4.2,1
3.41,14,16.53,6,72.99,6,89.52,5,2,5.49,4,2,0,2,1,4,4,1
3.41,22,2.7,6,45.16,6,47.86,5,2,37.79,6,2,0,2,0,2,4,1
3.41,8,3.08,6,60.78,6,63.86,5,2,0.36,2,2,0,2,0,2,3.6,1
3.41,32,2,6,49.19,6,51.19,5,2,60.88,6,2,0,2,1,4,4.2,1
3.41,2,1.18,4,0,2,1.18,5.5,4,183.2,6,2,1,4,0,2,3.2,1
3.41,39,1.07,4,0,2,1.07,5,2,10.02,6,2,0,2,0,2,2.6,1
3.41,12,1.07,4,0,2,1.07,5,2,0,2,6,0,2,0,2,2.6,1
3.41,13,1.01,4,0,2,1.01,5,2,0,2,2,0,2,0,2,2.2,1
3.41,5,0.93,2,0,2,0.93,5,2,0,2,2,0,2,0,2,2,0
3.41,4,4.01,6,0,2,4.01,5,2,0,2,2,0,2,0,2,2.4,1
3.41,32,0.77,2,0,2,0.77,5,2,0.32,2,2,0,2,0,2,2,0
3.41,16,1.05,4,0,2,1.05,5,2,0,2,2,0,2,0,2,2.2,1
3.41,15,1.01,4,0,2,1.01,5,2,0.28,2,2,0,2,0,2,2.2,1
3.41,19,0.91,2,0,2,0.91,5,2,0,2,2,0,2,0,2,2,0
3.41,8,1.12,4,0,2,1.12,5,2,0,2,2,0,2,0,2,2.2,1
3.41,9,0.8,2,0,2,0.8,5,2,0.18,2,2,0,2,0,2,2,0
3.41,22,0.65,2,0,2,0.65,5,2,0,2,2,0,2,0,2,2,0
3.41,29,0.63,2,0,2,0.63,5,2,0,2,2,0,2,0,2,2,0
3.41,6,0.43,2,0,2,0.43,5,2,0,2,2,0,2,0,2,2,0
3.41,11,1.21,4,0,2,1.21,5,2,0,2,2,0,2,0,2,2.2,1
3.41,31,0.17,2,0,2,0.17,5,2,0,2,2,0,2,0,2,2,0
3.41,18,0,2,0,2,0,5,2,0,2,4,0,2,0,2,2.2,1
3.41,14,0,2,0,2,0,5,2,0,2,2,0,2,0,2,2,0
3.41,36,0.07,2,0,2,0.07,5,2,0,2,2,0,2,0,2,2,0
2.72,18,5.11,6,53.76,6,58.87,6,6,48.56,6,2,0,2,2,6,5.2,1
2.72,39,2.46,6,6.72,4,9.18,5,2,0,2,2,0,2,0,2,3,1
2.72,39,4.05,6,21.66,6,25.71,5.5,4,18.45,6,2,0,2,0,2,4.4,1
2.72,39,2.81,6,4.6,2,7.41,5,2,8.44,4,2,0,2,0,2,2.6,1
2.72,25,4.43,6,61.47,6,65.9,5.5,4,39.65,6,2,0,2,0,2,4.4,1
2.72,39,3.48,6,17.85,6,21.33,5,2,9.53,4,2,0,2,0,2,3.8,1
2.72,8,3.62,6,44.28,6,47.9,5,2,44.67,6,2,0,2,0,2,4,1
2.72,8,4.34,6,24.13,6,28.47,5,2,3.42,2,2,0,2,0,2,3.6,1
2.72,12,3.62,6,8.37,4,11.99,5,2,0,2,2,0,2,0,2,3,1
2.72,11,3.11,6,113.97,6,117.08,5.5,4,26.64,6,2,0,2,0,2,4.4,1
2.72,9,1.65,4,20.86,6,22.51,5,2,16.91,6,2,0,2,0,2,3.8,1
2.72,12,3.43,6,1.53,2,4.96,5,2,0,2,2,0,2,0,2,2.4,1
2.72,9,3.84,6,98.67,6,102.51,5,2,12.9,6,2,0,2,0,2,4,1
2.72,12,7.42,6,115.87,6,123.29,6,6,6.79,4,2,0,2,1,4,4.8,1
2.72,12,7.07,6,35.48,6,42.55,5,2,8.76,4,2,0,2,0,2,3.8,1
2.72,2,3.26,6,5.55,4,8.81,5,2,0.21,2,6,0,2,0,2,3.4,1
2.72,13,3.84,6,144.39,6,148.23,5,2,19.68,6,2,1,4,1,4,4.4,1
2.72,13,5.5,6,93.26,6,98.76,5,2,14.27,6,2,0,2,0,2,4,1
2.72,5,1.9,4,35.04,6,36.94,6.5,6,16.19,6,2,0,2,0,2,4.6,1
2.72,5,3.5,6,16.09,6,19.59,5,2,5.03,4,2,0,2,0,2,3.8,1
2.72,5,1.46,4,0.75,2,2.21,5,2,0.11,2,2,0,2,0,2,2.2,1
2.72,38,4.6,6,54.99,6,59.59,5,2,14.1,6,2,0,2,0,2,4,1
2.72,5,7.43,6,79.5,6,86.93,5,2,102.39,6,2,0,2,0,2,4,1
2.72,11,3.51,6,52.89,6,56.4,5,2,4.26,2,2,0,2,0,2,3.6,1
2.72,4,5.65,6,67.16,6,72.81,6,6,27.23,6,2,0,2,0,2,4.8,1
2.72,4,1.33,4,0.35,2,1.68,5,2,0,2,2,0,2,0,2,2.2,1
2.72,31,5.45,6,71.09,6,76.54,5.5,4,59.18,6,2,0,2,0,2,4.4,1
2.72,4,1.73,4,5.64,4,7.37,5,2,13.35,6,2,0,2,0,2,3.2,1
2.72,16,6.02,6,135.69,6,141.71,6,6,89.64,6,4,0,2,0,2,5,1
2.72,22,3.22,6,55.64,6,58.86,5,2,80.8,6,2,1,4,0,2,4.2,1
2.72,16,2.41,6,5.28,4,7.69,5,2,8.95,4,4,0,2,0,2,3.4,1
2.72,16,2.84,6,64.91,6,67.75,5.5,4,124.59,6,4,0,2,0,2,4.6,1
2.72,16,1.75,4,0.57,2,2.32,5,2,0,2,4,0,2,0,2,2.4,1
2.72,16,2.18,6,30.81,6,32.99,5,2,5.8,4,4,0,2,0,2,4,1
2.72,16,3.26,6,2.81,2,6.07,6,6,21.6,6,4,0,2,0,2,3.8,1
2.72,40,4.43,6,51.32,6,55.75,5.5,4,145.97,6,2,0,2,0,2,4.4,1
2.72,8,5.61,6,99.33,6,104.94,6.5,6,76.47,6,2,0,2,0,2,4.8,1
2.72,19,3.9,6,27.92,6,31.82,5,2,47.6,6,2,0,2,0,2,4,1
2.72,19,2.19,6,0.68,2,2.87,5,2,28.4,6,2,0,2,0,2,2.8,1
2.72,19,1.56,4,14.64,4,16.2,5,2,25.97,6,2,0,2,0,2,3.2,1
2.72,14,4.53,6,87.93,6,92.46,5,2,85.81,6,2,0,2,0,2,4,1
2.72,20,4.97,6,42.19,6,47.16,5.5,4,45.37,6,2,0,2,0,2,4.4,1
2.72,19,2.13,6,0.59,2,2.72,5,2,0.76,2,2,0,2,0,2,2.4,1
2.72,19,3.66,6,15.47,6,19.13,5,2,1.43,2,2,0,2,0,2,3.6,1
2.72,19,1.64,4,0.19,2,1.83,5,2,1.59,2,2,0,2,0,2,2.2,1
2.72,29,4.9,6,98.71,6,103.61,5.5,4,82.99,6,2,0,2,1,4,4.6,1
2.72,32,5.68,6,67.38,6,73.06,5,2,86.7,6,2,0,2,1,4,4.2,1
2.72,9,3.99,6,92.05,6,96.04,5,2,15.14,6,2,0,2,1,4,4.2,1
2.72,30,3.47,6,47.07,6,50.54,5,2,31.38,6,2,0,2,0,2,4,1
2.72,15,2.68,6,38.32,6,41,5,2,7.17,4,2,0,2,0,2,3.8,1
2.72,15,2.13,6,42.64,6,44.77,5,2,18.24,6,2,0,2,0,2,4,1
2.72,2,4.28,6,1264.63,6,1268.91,5.5,4,58.86,6,6,0,2,2,6,5.2,1
2.72,1,4.36,6,33.91,6,38.27,5.5,4,6.06,4,6,1,4,0,2,4.8,1
