Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$3,328,148,500","1,079,811","9,755,511","2,656,431"
CryptoPunks,"$1,664,246,968","4,723","18,961","3,289"
Art Blocks,"$1,075,223,906","20,934","117,602","25,094"
Bored Ape Yacht Club,"$783,882,186","8,284","22,584","5,862"
NBA Top Shot,"$781,965,423","374,818","11,790,699","603,928"
Mutant Ape Yacht Club,"$422,429,206","10,350","17,343","10,254"
Loot,"$264,652,035","3,571","9,997","2,555"
Meebits,"$237,519,388","5,112","13,580","5,361"
Cool Cats,"$186,937,798","7,960","23,007","5,029"
CrypToadz,"$170,407,439","6,277","15,005","3,525"
Parallel Alpha,"$163,724,921","11,103","67,736",
MekaVerse,"$157,475,681","4,668","9,335","5,089"
0N1 Force,"$147,262,453","6,917","15,982","4,217"
Farmers World,"$142,416,548","19,459","456,350","28,679"
Pudgy Penguins,"$136,335,178","9,948","26,720","4,719"
Sorare,"$129,615,752","42,675","713,122","60,277"
PUNKS Comic,"$129,584,623","3,357","8,757","3,097"
Zed Run,"$120,191,155","40,469","160,217","40,190"
CyberKongz,"$119,204,627","2,279","3,962","2,048"
Solana Monkey Business,"$111,321,313","3,033","6,727","2,566"
Degenerate Ape Academy,"$110,968,075","5,816","17,266","5,002"
Bored Ape Kennel Club,"$108,210,267","5,622","13,715","5,013"
Curio Cards,"$102,446,048","6,051","18,595",1
The Sandbox,"$101,869,777","9,349","20,452","14,723"
Doodles,"$97,201,419","7,069","12,899","5,150"
Veefriends,"$96,224,091","1,401","2,940","5,099"
Creature World NFT,"$93,805,609","9,245","19,740","5,928"
Emblem Vault,"$86,635,500","3,951","14,411","4,495"
LOSTPOETS,"$85,240,932","7,429","19,165","6,349"
Hashmasks,"$81,416,217","5,419","17,768","5,089"
World Of Women,"$80,972,342","6,574","17,576","4,568"
Bored Ape Chemistry Club,"$79,456,705","1,454","2,508",1
The Doge Pound,"$77,618,297","6,325","12,674","5,501"
Aurory,"$73,560,965","5,447","12,152","5,598"
Sneaky Vampire Syndicate,"$63,849,854","5,244","12,384","4,621"
Lazy Lions,"$62,711,441","8,547","20,880","4,739"
Mooncats,"$59,724,904","6,826","19,897","5,918"
CyberKongz VX,"$59,478,087","5,253","14,123","3,916"
Kaiju Kingz,"$55,537,147","1,824","3,209","1,829"
MutantCats,"$55,460,314","8,614","19,482","4,369"
GalacticApes,"$54,804,326","6,025","15,564","3,466"
Fluf World,"$54,684,778","5,214","14,803","3,500"
Sup Ducks,"$54,344,484","5,891","14,987","3,256"
Wolf Game,"$51,776,391","3,803","8,542",180
888 Inner Circle,"$49,408,610","5,040","9,423",1
Galactic Gecko Space Garage,"$45,980,345","5,193","18,117","4,107"
CryptoKitties,"$45,790,208","111,129","786,656","109,858"
Anonymice,"$45,737,499","2,097","5,466","1,454"
Galaxy Eggs,"$45,598,922","7,026","15,296","5,068"
Autoglyphs,"$41,866,276",183,349,157
The Sevens,"$41,144,115","5,155","9,567","3,956"
Koala Intelligence Agency,"$40,591,577","7,519","16,275","4,903"
Adam Bomb Squad,"$40,193,328","8,774","23,440","7,958"
Neo Tokyo Identities,"$39,417,867",691,901,"1,908"
The n project,"$38,674,794","4,757","11,825","2,437"
Vox Collectibles,"$37,809,113","5,242","14,172","3,095"
The Humanoids,"$37,221,336","8,158","17,566","5,289"
Treeverse,"$36,541,570","4,575","9,943","3,828"
The Shiboshis,"$36,173,994","2,565","5,961","3,622"
Gutter Cat Gang,"$35,876,258","1,729","3,343",
The CryptoDads,"$35,221,001","6,945","13,596","8,144"
Peaceful Groupies,"$35,215,121","7,696","17,769","3,730"
Bloot,"$33,981,840","6,100","14,125","4,214"
Farming Tales,"$33,930,249","8,436","125,753","5,644"
Rumble Kong League,"$33,317,461","3,881","9,969","2,852"
Alien Worlds,"$33,282,729","405,975","4,630,191","2,562,646"
SolPunks,"$32,952,969","5,926","14,399","4,414"
Blitmap,"$31,281,002",352,849,577
Robotos Official,"$29,939,709","8,655","18,535","5,229"
DeadFellaz,"$29,222,282","8,051","17,166","5,208"
Tom Sachs Rocket Factory,"$29,016,690",723,"2,536",306
Metasaurs by Dr. DMT,"$28,612,483","6,390","12,526","5,732"
Animetas,"$27,492,325","5,461","15,763","4,045"
Winter Bears,"$26,624,321","8,102","18,209","4,642"
MetaHero Universe Generative,"$26,529,363",888,"1,222","2,948"
Cryptovoxels,"$25,769,658","2,191","9,481","1,713"
Party Ape Billionaire Club,"$24,986,437","5,237","10,594","5,265"
BugBears,"$24,400,384","7,454","17,801","6,104"
Frontier Game,"$23,972,975","3,257","7,409",
Bold Badgers,"$23,678,164","5,525","17,111","4,307"
Meerkat Millionaires Country Club,"$23,562,736","4,319","8,908","4,546"
Thug Birdz,"$23,216,571","2,608","6,492","2,163"
Frakt,"$22,515,099","4,243","12,168","1,179"
The Wicked Craniums,"$22,336,646","6,921","20,336","4,530"
The Vogu Collective,"$21,663,898","4,160","10,800","2,820"
Cupcats Official,"$21,307,463","3,096","8,106","2,015"
Bastard Gan Punks V2,"$20,062,405","3,246","10,387","2,893"
Stoner Cats,"$19,850,033","4,547","8,498","4,951"
Space Punks Club,"$19,780,599","5,556","12,197","4,557"
Deafbeef,"$19,249,730",91,135,109
DystoPunks V2,"$19,165,801","1,207","2,876",672
Habbo Avatars,"$19,067,198","4,103","9,229","3,502"
Panini America,"$18,729,363","7,203","211,498","6,194"
Sipherian Surge,"$18,118,522","5,063","12,201","3,647"
R Planet,"$17,994,717","11,908","103,809","13,268"
Solsteads,"$17,915,196","1,621","3,120","1,664"
Galaxy Fight Club,"$17,903,757","4,232","13,866","2,464"
CryptoArte,"$17,817,569","4,121","9,709","3,347"
Forgotten Runes,"$17,729,910","3,620","11,562","2,442"
Mike Tyson NFT,"$17,537,597",756,"1,413",321
Incognito,"$17,461,974","5,146","15,504","3,338"
Desperate ApeWives,"$16,828,504","3,414","7,324","4,870"
The Yakuza Cats Society,"$16,764,571","5,572","13,099","3,550"
Monkey Bet DAO,"$16,248,280","5,313","12,029","3,236"
Lonely Alien Space Club,"$16,164,746","4,770","12,750","3,811"
Topps MLB,"$16,140,135","16,014","579,217","35,546"
Infinity Labs,"$15,767,022","3,617","10,780","3,236"
World Poker Tour,"$14,610,752",518,"4,249","1,228"
Voxies,"$14,550,687","1,389","5,261","1,607"
Avid Lines,"$14,398,302",265,469,265
The Official Surreals,"$14,235,397","5,618","10,998","4,967"
Divine Anarchy,"$13,868,473","4,496","8,440","4,920"
Bulls On The Block,"$13,854,185","6,274","18,875","4,431"
Rogue Sharks,"$13,454,548","6,178","15,257","6,619"
Dapper Dinos NFT,"$13,383,512","4,815","10,187","4,674"
StackedToadz,"$12,958,391","2,074","4,409","1,372"
The Wanderers,"$12,827,199","6,002","12,184","4,363"
Fat Ape Club,"$12,794,931","3,536","5,590","5,570"
Gutter Rats,"$12,682,958","1,738","3,157",
FoxFam,"$12,525,884","4,313","10,952","3,059"
Dead Heads,"$12,480,659","4,617","14,039","3,342"
Smilesssvrs,"$12,155,174","3,350","6,343","4,111"
TheHeartProject,"$12,063,214","5,432","12,408","4,796"
OnChainMonkey,"$11,721,073","4,552","13,165","2,858"
Nifty League DEGENs,"$11,646,204","3,822","8,550","4,068"
CreatureToadz,"$11,507,345","4,192","7,683","5,449"
Bored Mummy Waking Up,"$11,292,073","6,030","14,816","3,682"
Boss Beauties,"$11,164,537","5,515","11,216","4,419"
Crypto Cannabis Club,"$10,865,750","4,311","9,972","3,993"
Rogue Society Bot,"$10,638,455","6,917","14,512","6,880"
GOOP TROOP,"$10,596,235","3,230","8,223","2,515"
Chicken Derby,"$10,478,556","4,469","19,605","5,461"
Colonize Mars,"$10,256,185","18,492","395,412","25,489"
Gauntlets,"$10,082,528","2,879","6,296","3,816"
Mutant Garden Seeder,"$9,798,416",250,468,272
Sollamas,"$9,561,936","4,151","9,642","3,387"
Axolittles,"$9,512,924","5,859","13,411","4,368"
Goons of Balatroon,"$9,503,732","3,246","7,894","3,464"
NFT Worlds,"$9,315,766","3,986","8,345","5,054"
CryptoHoots Steampunk Parliament,"$9,290,677","1,642","3,847",958
Star Sailor Siblings,"$9,104,714","3,129","8,857","2,446"
NAH Fungible Bones,"$9,089,629","6,040","13,656","4,877"
MetaHero Universe DAO Tokens,"$9,006,014","1,449","2,382",1
Generativemasks,"$8,834,952","3,968","9,479","3,599"
Royal Society Players,"$8,708,478","1,463","7,158","1,616"
ALPACADABRAZ,"$8,639,796","2,851","6,467","3,052"
Space Poggers,"$8,531,457","4,174","12,301","3,339"
Chill Frogs NFT,"$8,502,440","3,777","9,265","2,467"
Obits Official,"$8,468,831","4,870","10,655","3,010"
Purrnelopes Country Club,"$8,438,984","2,216","8,170","3,067"
0xVampire,"$8,343,143","6,105","13,396","4,281"
Playboy Rabbitars Official,"$8,144,028","2,886","5,605","4,921"
HeavenComputer,"$7,994,165","3,222","7,892","2,924"
Fancy Frenchies,"$7,889,067","5,127","12,367","4,492"
Wrapped Strikers,"$7,514,472",853,"1,995",786
Sad Frogs District,"$7,438,576","3,232","8,676","2,169"
Crazy Lizard Army,"$7,296,914","2,889","10,510","1,884"
Red Panda Squad,"$7,285,002","5,148","12,631","4,111"
KingFrogs,"$7,262,567","3,669","7,385","5,324"
Piggy Sol Gang,"$7,217,495","3,875","10,104","4,302"
Byo Pills,"$6,951,969","4,379","9,974","3,462"
Avastars,"$6,894,953","2,755","8,300","4,666"
SolSnatchers,"$6,834,358","5,997","15,921","4,105"
JunkYardDogs,"$6,714,714","4,152","9,169","3,337"
F1 Delta Time,"$6,659,338","1,062","8,050","1,485"
Pesky Penguins,"$6,515,871","1,948","6,605","3,917"
Voxodeus,"$6,359,391","2,221","7,182","1,635"
JungleCats,"$6,356,195","3,541","6,871","3,126"
Rebel Seals Club,"$6,265,059","3,162","7,997","2,755"
Visitors Of Imma Degen,"$6,240,865","3,309","10,469","2,623"
Metabaes,"$6,132,674","4,947","10,969","4,866"
UninterestedUnicorns,"$5,802,415",865,"2,390","1,974"
Jenkins the Valet The Writers Room,"$5,625,102","3,242","6,991","2,643"
COVIDPunks,"$5,426,279","4,338","9,981","3,841"
Nftrees,"$5,360,400",313,559,261
The Alien Boy,"$5,288,426","4,478","13,495","3,639"
Chain Saw,"$5,241,292",31,47,28
Ether Cards Founder Series,"$5,162,803",482,"1,292","1,567"
Nftboxes,"$5,045,193","1,444","3,638","3,071"
The Lost Glitches,"$4,986,453","2,859","6,610","3,448"
Fame Lady Squad,"$4,913,009","4,195","9,871","3,585"
Illuvium,"$4,849,821","1,255","3,021",
Famous Fox Federation,"$4,841,946","2,444","5,228","2,975"
Solarians,"$4,804,586",921,"1,511","1,874"
Cyber Frogs,"$4,726,478","3,896","10,043","4,566"
Skeleton Crew Skulls,"$4,699,149","2,650","7,390","6,010"
Chibi Apes,"$4,648,689","2,668","4,876","1,726"
SolYetis,"$4,644,724","5,915","12,454","5,918"
Grim Syndicate,"$4,576,564","1,740","5,041","2,552"
Xpansion,"$4,568,909","3,056","28,013","10,767"
Eternal Beings,"$4,559,266","5,267","12,651","5,525"
Non Fungible Fungi Genesis,"$4,480,098",127,167,71
Fast Food Frens Collection,"$4,454,866","2,337","5,254","1,935"
Chubbies,"$4,442,102","2,057","5,486","2,874"
Great Ape Society,"$4,418,161","4,852","10,195","4,009"
Animonkeys,"$4,411,480","1,412","3,660",998
Top Dog Beach Club,"$4,214,413","2,607","5,633","2,901"
Bunks,"$4,201,788",800,"5,362","1,105"
Splinterlands,"$4,191,363","7,660","113,731","6,877"
Knights of Degen,"$4,125,396","1,873","4,930","2,540"
Crypto Beasts,"$4,117,548","1,486","4,263","2,744"
Bonsai by ZENFT,"$4,027,134","2,757","6,317","2,723"
Bubblegum Kids,"$3,920,843","2,870","7,710","3,497"
CryptoFlyz,"$3,912,501","1,776","3,300","3,149"
Shabu Town Shibas,"$3,894,447","2,734","6,145","2,985"
ZombieCats,"$3,883,894","3,085","6,281","2,777"
SolChicks,"$3,850,851","1,998","4,523","2,775"
Gods Unchained,"$3,801,591","3,564","386,317","15,200"
Solana Bananas,"$3,794,244","1,316","2,883","1,025"
Fluffy Polar Bears,"$3,794,206","3,066","5,104",
Unirexcity,"$3,737,012","4,594","8,310",7
Super Shiba Club,"$3,662,789","2,435","6,390","2,842"
Glue Factory Show,"$3,662,596","3,236","6,859","3,453"
Kaiju Cards,"$3,654,547","1,662","3,823","2,599"
Stylish Studs,"$3,631,509","1,849","5,623","2,303"
The Sneks,"$3,621,311","4,206","12,388","5,078"
BYOKEY,"$3,591,027","1,388","2,494",1
Dirtybird Flight Club,"$3,550,174","2,925","6,194","3,547"
GenX by HOK,"$3,541,901","2,390","4,991","3,264"
Birbs,"$3,468,983","4,469","9,488","2,629"
PunkScapes,"$3,461,947","2,350","5,831","3,683"
Crypto Cavemen,"$3,365,520","3,059","7,862","3,511"
Super Yeti,"$3,317,238","4,394","9,223","3,872"
SolanaDogeNFTs,"$3,309,960","1,474","4,105","1,189"
Sipherian Flash,"$3,290,587","1,849","3,146","3,758"
KOGS,"$3,252,371","12,001","555,365","15,377"
Trippy Bunny Tribe,"$3,240,766",952,"1,496",884
Block Art,"$3,196,270","1,170","2,644","2,719"
Weird Whales,"$3,137,059","1,497","2,969","1,649"
Wanna Panda,"$3,008,308","2,475","6,275","2,858"
Crypto Zunks,"$2,993,628","3,069","7,207","2,834"
Long Neckie Ladies,"$2,977,288","1,635","3,804","1,414"
Lonely Frog Lambo Club,"$2,968,806","3,214","6,537","3,410"
Bitcoin Origins,"$2,966,704","4,109","34,483","8,985"
Green Rabbit,"$2,960,392","5,235","84,184","5,703"
Al Cabones,"$2,956,652","1,520","4,243","3,635"
CryptoCubs,"$2,950,567","2,162","7,821","1,472"
Sol Souls,"$2,854,097","2,724","7,098","4,131"
Wrapped Cryptocats,"$2,774,010",111,201,145
KAM1,"$2,759,049","4,048","8,981","4,780"
Divine Order,"$2,725,493","3,730","8,942","3,630"
Street Fighter,"$2,722,884","15,016","466,520","43,495"
Crypto Raiders Characters,"$2,709,540","1,360","4,523","2,122"
Goatz,"$2,700,380","2,370","6,249","2,892"
Solana Valley,"$2,571,696","2,696","6,446","3,902"
Evolution,"$2,536,468",746,"4,961","2,061"
LegionPunks,"$2,535,490","1,702","3,794","2,410"
BabyApes,"$2,521,714","1,671","3,405","2,785"
Train of the Century,"$2,504,080","3,139","39,460","3,160"
Cyber Pharmacist,"$2,498,805","3,206","8,452","3,689"
